tanaman,gejala,manfaat,efek_samping,referensi
Ciplukan (Physalis angulata),"hipertensi, radikal bebas, gangguan imun, peradangan","antihipertensi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"nyeri otot, peradangan","antiinflamasi, analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"stres oksidatif, hipertensi","antihipertensi, antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri sendi, nyeri otot","antimikroba, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"diabetes, nyeri sendi","antidiabetes, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"nyeri sendi, radikal bebas","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"peradangan, gangguan imun, stres oksidatif, radikal bebas","antidiabetes, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"peradangan, infeksi bakteri, radikal bebas","antioksidan, antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"radikal bebas, nyeri sendi","antidiabetes, imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"peradangan, radikal bebas, nyeri sendi, nyeri otot","antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"gangguan imun, peradangan, stres oksidatif","antioksidan, antihipertensi, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia."
Sirih Cina (Peperomia pellucida),"nyeri sendi, nyeri otot, radikal bebas, peradangan","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"radikal bebas, diabetes","antiinflamasi, antihipertensi, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot","antioksidan, antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"gangguan imun, nyeri sendi, diabetes, stres oksidatif","imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"nyeri sendi, nyeri otot, radikal bebas, peradangan","analgesik, antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"radikal bebas, peradangan, nyeri sendi","antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"nyeri sendi, peradangan","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"diabetes, nyeri sendi, peradangan","antiinflamasi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri otot, nyeri sendi","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"radikal bebas, stres oksidatif, gangguan imun","imunomodulator, antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"nyeri sendi, nyeri otot, peradangan, infeksi bakteri","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"gangguan imun, peradangan","antihipertensi, antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri otot, infeksi bakteri","analgesik, antiinflamasi, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"nyeri sendi, peradangan, radikal bebas","antihipertensi, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, radikal bebas, nyeri sendi","antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"hipertensi, diabetes","imunomodulator, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri otot, infeksi bakteri","analgesik, antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"peradangan, diabetes, hipertensi, gangguan imun","imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"nyeri sendi, peradangan, nyeri otot","antimikroba, antioksidan, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"radikal bebas, gangguan imun, peradangan, stres oksidatif","antioksidan, antiinflamasi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri sendi, infeksi bakteri","analgesik, antiinflamasi, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"diabetes, stres oksidatif, peradangan","imunomodulator, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri otot","analgesik, antioksidan, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"gangguan imun, hipertensi","antioksidan, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"nyeri sendi, radikal bebas, infeksi bakteri, peradangan","antiinflamasi, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"peradangan, nyeri sendi","imunomodulator, antioksidan, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"nyeri sendi, radikal bebas, peradangan, nyeri otot","antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"peradangan, stres oksidatif","antidiabetes, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, radikal bebas, nyeri sendi","analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"stres oksidatif, diabetes, gangguan imun","antidiabetes, antihipertensi, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Sirih Cina (Peperomia pellucida),"nyeri sendi, nyeri otot, radikal bebas, peradangan","analgesik, antimikroba, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
